title,year,rating,genre,mood,language,imdb_score,description
The Grand Budapest Hotel,2014,R,"Comedy, Romance, Family, Adventure, Drama","Happy, Excited, Relaxed",English,8.1,A legendary hotel concierge and his lobby boy go on adventures
Superbad,2007,R,"Comedy, Romance, Family","Happy, Excited, Relaxed",English,7.6,Two best friends try to score alcohol for a party before graduating
Andaz Apna Apna,1994,UA,"Comedy, Romance, Family, Adventure","Happy, Excited, Relaxed",Hindi,8.2,Two rivals compete for a rich girl's hand in marriage
Hera Pheri,2000,UA,"Comedy, Romance, Family, Crime","Happy, Excited, Relaxed",Hindi,8.2,Three men accidentally become targets of a kidnapper
The Intern,2015,PG-13,"Comedy, Romance, Family, Drama","Happy, Excited, Relaxed",English,7.1,A 70-year-old intern works for a young entrepreneur
The Proposal,2009,PG-13,"Comedy, Romance, Family","Relaxed, Happy",English,6.7,A pushy boss forces her assistant to marry her to avoid deportation
Piku,2015,UA,"Comedy, Romance, Family, Drama","Relaxed, Happy",Hindi,7.5,A quirky road trip between a father and daughter
Barfi,2012,UA,"Comedy, Romance, Family, Drama","Happy, Excited, Relaxed, Sad",Hindi,8.1,A deaf-mute young man wins the hearts of two women
The Pursuit of Happyness,2006,PG-13,"Drama, Romance, Biography","Motivated, Excited, Happy, Sad",English,8,A struggling salesman raises his son while working toward success
A Beautiful Mind,2001,PG-13,"Drama, Romance, Biography","Motivated, Excited, Happy, Sad",English,8.2,A math genius battles schizophrenia on his way to a Nobel Prize
Kal Ho Naa Ho,2003,UA,"Drama, Romance, Comedy","Sad, Relaxed, Motivated, Happy",Hindi,8,A dying man transforms the lives of people around him
Anand,1971,G,"Drama, Romance, Comedy","Sad, Relaxed, Motivated",Hindi,8.2,A terminally ill man lives life to the fullest
Forrest Gump,1994,PG-13,"Drama, Romance, Comedy","Happy, Excited, Relaxed, Sad, Motivated",English,8.8,A slow-witted man witnesses and influences historical events
The Shawshank Redemption,1994,R,"Drama, Romance, Crime","Motivated, Excited, Happy, Sad",English,9.3,Two imprisoned men find solace and hope over several years
Zindagi Na Milegi Dobara,2011,UA,"Drama, Romance, Adventure, Comedy","Happy, Excited, Relaxed",Hindi,8.1,Three friends go on a road trip and face their fears
Swades,2004,UA,"Drama, Romance","Motivated, Excited, Happy",Hindi,8.2,An NRI returns to India to rediscover his roots
Get Out,2017,R,"Horror, Thriller, Mystery","Scared, Excited",English,7.7,A Black man uncovers disturbing secrets on a visit to his girlfriend's family
The Conjuring,2013,R,"Horror, Thriller, Mystery","Scared, Excited",English,7.5,Paranormal investigators help a family terrorized by a dark presence
The Others,2001,PG-13,"Horror, Thriller, Mystery","Scared, Excited, Sad",English,7.6,A woman believes her home is haunted
Tumbbad,2018,A,"Horror, Thriller, Mystery, Fantasy, Adventure","Scared, Excited",Hindi,8.2,A man seeks treasure guarded by a forgotten deity
Pari,2018,A,"Horror, Thriller, Mystery","Scared, Excited",Hindi,6.6,A woman with a dark secret disrupts a man's life
13B,2009,UA,"Horror, Thriller, Mystery","Scared, Excited",Hindi,7.2,A family is haunted by events shown on their television
Arrival,2016,PG-13,"Sci-fi, Action, Adventure, Drama, Mystery","Relaxed, Happy, Sad, Motivated",English,7.9,A linguist works to communicate with aliens who have landed on Earth
Her,2013,R,"Sci-fi, Action, Adventure, Drama, Romance","Relaxed, Happy, Sad",English,8,A man falls in love with an AI operating system
PK,2014,UA,"Sci-fi, Action, Adventure, Comedy, Drama","Happy, Excited, Relaxed, Motivated",Hindi,8.1,An alien questions the concept of God on Earth
Interstellar,2014,PG-13,"Sci-fi, Action, Adventure, Drama","Excited, Happy, Motivated, Sad",English,8.6,Astronauts travel through a wormhole to save humanity
Blade Runner 2049,2017,R,"Sci-fi, Action, Adventure, Thriller, Mystery","Relaxed, Happy, Sad",English,8,A blade runner uncovers a secret that could reshape civilization
Robot,2010,UA,"Sci-fi, Action, Adventure","Excited, Happy, Motivated",Hindi,7,A scientist creates a robot with human emotions causing havoc
La La Land,2016,PG-13,"Romance, Drama, Comedy, Music","Happy, Excited, Relaxed, Sad, Motivated",English,8,A jazz musician and an aspiring actress fall in love in LA
10 Things I Hate About You,1999,PG-13,"Romance, Drama, Comedy","Happy, Excited, Relaxed",English,7.3,A girl can only date if her anti-social sister does too
Yeh Jawaani Hai Deewani,2013,UA,"Romance, Drama, Comedy, Adventure","Happy, Excited, Relaxed, Sad",Hindi,7.4,Two friends reunite and rediscover their feelings after years
Dil Chahta Hai,2001,UA,"Romance, Drama, Comedy","Happy, Excited, Relaxed, Sad",Hindi,8.1,Three best friends embark on different journeys of life and love
The Notebook,2004,PG-13,"Romance, Drama, Comedy","Sad, Relaxed, Motivated, Happy",English,7.8,A couple fall in love despite social differences
Titanic,1997,PG-13,"Romance, Drama, Comedy","Sad, Relaxed, Motivated, Happy",English,7.9,A love story aboard the ill-fated RMS Titanic
Jab We Met,2007,UA,"Romance, Drama, Comedy","Happy, Excited, Relaxed",Hindi,7.9,A depressed businessman crosses paths with an irrepressible girl
Veer-Zaara,2004,UA,"Romance, Drama, Comedy","Sad, Relaxed, Motivated, Happy",Hindi,7.8,An Indian soldier and a Pakistani girl fall in love across borders
Avengers Endgame,2019,PG-13,"Action, Adventure, Thriller, Sci-fi","Excited, Happy, Motivated, Sad",English,8.4,The Avengers reassemble to undo Thanos's destruction
Joker,2019,R,"Drama, Romance, Thriller","Sad, Relaxed, Motivated, Scared",English,8.4,A failed comedian descends into madness and becomes a criminal
Parasite,2019,R,"Drama, Romance, Thriller, Comedy","Excited, Happy, Motivated, Scared",English,8.5,A poor family schemes to become employed by a wealthy household
Dangal,2016,UA,"Drama, Romance, Biography, Sport","Motivated, Excited, Happy, Sad",Hindi,8.4,A wrestler trains his daughters to become world-class wrestlers
Gully Boy,2019,UA,"Drama, Romance, Music","Motivated, Excited, Happy, Sad",Hindi,7.9,A street rapper from the slums rises to fame
Drishyam,2015,UA,"Drama, Romance, Thriller, Mystery","Excited, Happy, Motivated, Scared",Hindi,8.3,A man uses his knowledge of films to protect his family from the law
Andhadhun,2018,UA,"Drama, Romance, Thriller, Comedy","Excited, Happy, Motivated, Scared",Hindi,8.3,A blind pianist gets caught up in a series of murders
Bahubali The Beginning,2015,UA,"Action, Adventure, Thriller, Fantasy","Excited, Happy, Motivated",Hindi,8.1,A warrior discovers his royal destiny in an epic adventure
RRR,2022,UA,"Action, Adventure, Thriller, Drama","Excited, Happy, Motivated, Sad",Hindi,7.9,Two revolutionaries fight the British colonial empire
Uri The Surgical Strike,2019,UA,"Action, Adventure, Thriller, Drama, War","Motivated, Excited, Happy",Hindi,8.2,India retaliates against a terrorist attack with a surgical strike
Bhaag Milkha Bhaag,2013,UA,"Drama, Romance, Biography, Sport","Motivated, Excited, Happy, Sad",Hindi,8.2,The true story of Indian sprinting legend Milkha Singh
MS Dhoni The Untold Story,2016,UA,"Drama, Romance, Biography, Sport","Motivated, Excited, Happy, Sad",Hindi,8,The true story of Indian cricket captain MS Dhoni's rise
Kahaani,2012,UA,"Drama, Romance, Thriller, Mystery","Excited, Happy, Motivated, Scared",Hindi,8.1,A pregnant woman searches for her missing husband in Kolkata
Queen,2014,UA,"Drama, Romance, Comedy","Happy, Excited, Relaxed, Motivated",Hindi,8.1,A jilted woman goes on her honeymoon solo and discovers herself
Tamasha,2015,UA,"Drama, Romance","Sad, Relaxed, Motivated",Hindi,7.5,A man and woman fall for each other but their real selves conflict
Udaan,2010,UA,"Drama, Romance","Sad, Relaxed, Motivated",Hindi,8.2,A teenager rebels against his strict authoritarian father
The Social Network,2010,PG-13,"Drama, Romance, Biography","Motivated, Excited, Happy, Sad",English,7.8,The founding of Facebook and the lawsuits that followed
Whiplash,2014,R,"Drama, Romance, Music","Motivated, Excited, Happy, Sad",English,8.5,A young drummer endures an abusive instructor to reach greatness
Good Will Hunting,1997,R,"Drama, Romance","Motivated, Excited, Happy, Sad",English,8.3,A janitor with genius-level intellect gets therapy and guidance
Ratatouille,2007,G,"Comedy, Romance, Family, Adventure","Happy, Excited, Relaxed, Motivated",English,8.1,A rat dreams of becoming a great chef in Paris
Toy Story,1995,G,"Comedy, Romance, Family, Adventure","Happy, Excited, Relaxed",English,8.3,A cowboy toy is threatened by the arrival of a new astronaut toy
Finding Nemo,2003,G,"Drama, Romance, Adventure, Family","Happy, Excited, Relaxed, Sad, Motivated",English,8.1,A father clown fish searches the ocean for his missing son
Up,2009,PG,"Drama, Romance, Adventure, Comedy","Sad, Relaxed, Motivated, Happy",English,8.2,An elderly man fulfills his late wife's dream by floating his house to South America
Coco,2017,PG,"Drama, Romance, Adventure, Family","Happy, Excited, Relaxed, Sad",English,8.4,A boy journeys to the Land of the Dead to find his great-great-grandfather
Soul,2020,PG,"Drama, Romance, Comedy, Fantasy","Relaxed, Happy",English,8,A musician gets a new perspective on life after a near-death experience
Gravity,2013,PG-13,"Sci-fi, Action, Adventure, Drama, Thriller","Excited, Happy, Motivated, Scared",English,7.7,Two astronauts struggle to survive after disaster strikes
The Martian,2015,PG-13,"Sci-fi, Action, Adventure, Drama","Motivated, Excited, Happy, Relaxed",English,8,An astronaut is left stranded on Mars and must survive alone
Ex Machina,2014,R,"Sci-fi, Action, Adventure, Thriller","Scared, Excited, Relaxed",English,7.7,A programmer evaluates a humanoid robot with artificial intelligence
Annihilation,2018,R,"Sci-fi, Action, Adventure, Thriller","Scared, Excited, Relaxed",English,6.8,Biologists go on a dangerous expedition into a mysterious zone
Doctor Strange,2016,PG-13,"Sci-fi, Action, Adventure, Fantasy","Excited, Happy, Motivated, Scared",English,7.5,A surgeon discovers a hidden world of mystic arts
Kaabil,2017,UA,"Romance, Drama, Comedy, Action, Thriller","Sad, Relaxed, Motivated, Scared",Hindi,7.2,A blind couple's life is shattered and the husband seeks revenge
Ae Dil Hai Mushkil,2016,UA,"Romance, Drama, Comedy","Sad, Relaxed, Motivated",Hindi,6.4,A man is torn between friendship and obsessive love
Kabir Singh,2019,A,"Romance, Drama, Comedy","Sad, Relaxed, Motivated, Excited",Hindi,7.1,A surgeon turns to alcohol and drugs after his love is forced to marry someone else
Rockstar,2011,UA,"Romance, Drama, Comedy, Music","Sad, Relaxed, Motivated, Excited",Hindi,7.5,A small-town boy becomes a rockstar fuelled by heartbreak
Lootera,2013,UA,"Romance, Drama, Comedy","Sad, Relaxed, Motivated, Happy",Hindi,7.8,A con man and a zamindar's daughter fall in love in 1950s India
Notting Hill,1999,PG-13,"Romance, Drama, Comedy","Happy, Excited, Relaxed",English,7.2,A bookstore owner falls in love with the world's most famous actress
Pride and Prejudice,2005,PG,"Romance, Drama, Comedy","Happy, Excited, Relaxed",English,7.8,A witty woman and a proud man clash and fall in love
Crazy Rich Asians,2018,PG-13,"Romance, Drama, Comedy","Happy, Excited, Relaxed",English,6.9,A professor is surprised by her boyfriend's extremely wealthy family
Always Be My Maybe,2019,PG-13,"Romance, Drama, Comedy","Happy, Excited, Relaxed",English,6.7,Childhood friends reunite and rediscover their feelings
Set It Up,2018,PG-13,"Romance, Drama, Comedy","Happy, Excited, Relaxed",English,6.7,Two overworked assistants try to set up their bossy bosses
